game_id,game_date,team,score,season,season_type,opp_drtg,pts_paint,turnovers,score_diff
29900436,2000-01-04,SAS,88.0,2000,0,103.4,44.0,12.0,-0.148936170212766
29900445,2000-01-05,SAS,96.0,2000,0,104.6,40.0,13.0,-0.0822179732313575
29900460,2000-01-07,SAS,102.0,2000,0,104.04666666666667,46.0,15.0,-0.019670660601012368
29900469,2000-01-08,SAS,127.0,2000,0,101.7,54.0,20.0,0.24877089478859388
29900482,2000-01-10,SAS,93.0,2000,0,102.3,28.0,17.0,-0.09090909090909088
29900504,2000-01-13,SAS,103.0,2000,0,102.1,44.0,17.0,0.008814887365328166
29900513,2000-01-14,SAS,85.0,2000,0,104.6,34.0,20.0,-0.1873804971319311
29900536,2000-01-17,SAS,99.0,2000,0,110.1,56.0,15.0,-0.10081743869209804
29900549,2000-01-19,SAS,95.0,2000,0,100.8,30.0,10.0,-0.057539682539682516
29900569,2000-01-22,SAS,96.0,2000,0,100.9,34.0,17.0,-0.04856293359762146
29900592,2000-01-25,SAS,105.0,2000,0,110.1,46.0,11.0,-0.04632152588555853
29900603,2000-01-27,SAS,92.0,2000,0,103.4,40.0,12.0,-0.11025145067698264
29900621,2000-01-29,SAS,67.0,2000,0,100.8,36.0,18.0,-0.3353174603174603
29900635,2000-02-01,SAS,105.0,2000,0,98.2,44.0,12.0,0.06924643584521382
29900650,2000-02-03,SAS,112.0,2000,0,104.9,24.0,15.0,0.06768350810295513
29900673,2000-02-06,SAS,90.0,2000,0,102.3,,,-0.12023460410557182
29900684,2000-02-08,SAS,79.0,2000,0,104.6,,,-0.24474187380497128
29900696,2000-02-09,SAS,106.0,2000,0,105.8,38.0,26.0,0.001890359168241993
29900707,2000-02-15,SAS,81.0,2000,0,104.0,28.0,16.0,-0.22115384615384615
29900733,2000-02-18,SAS,116.0,2000,0,105.7,46.0,14.0,0.097445600756859
29900747,2000-02-20,SAS,113.0,2000,0,105.7,44.0,18.0,0.06906338694418161
29900754,2000-02-21,SAS,89.0,2000,0,104.04666666666667,36.0,19.0,-0.14461459601460883
29900773,2000-02-24,SAS,72.0,2000,0,101.4,30.0,12.0,-0.2899408284023669
29900784,2000-02-25,SAS,91.0,2000,0,104.6,42.0,12.0,-0.13001912045889097
29900799,2000-02-27,SAS,98.0,2000,0,103.4,38.0,16.0,-0.0522243713733076
29900814,2000-02-29,SAS,93.0,2000,0,101.0,24.0,10.0,-0.07920792079207921
29900829,2000-03-02,SAS,102.0,2000,0,103.4,48.0,10.0,-0.013539651837524232
29900842,2000-03-04,SAS,103.0,2000,0,102.1,36.0,22.0,0.008814887365328166
29900854,2000-03-06,SAS,106.0,2000,0,106.3,50.0,11.0,-0.0028222013170272546
29900874,2000-03-09,SAS,105.0,2000,0,107.9,24.0,15.0,-0.026876737720111267
29900881,2000-03-10,SAS,106.0,2000,0,107.0,42.0,14.0,-0.009345794392523364
29900896,2000-03-12,SAS,80.0,2000,0,100.9,38.0,16.0,-0.20713577799801788
29900914,2000-03-14,SAS,94.0,2000,0,107.9,42.0,15.0,-0.12882298424467103
29900927,2000-03-16,SAS,88.0,2000,0,107.2,34.0,17.0,-0.17910447761194032
29900944,2000-03-18,SAS,102.0,2000,0,105.8,,,-0.03591682419659733
29900965,2000-03-21,SAS,96.0,2000,0,107.2,,,-0.10447761194029853
29900975,2000-03-22,SAS,103.0,2000,0,110.1,50.0,7.0,-0.06448683015440504
29900996,2000-03-25,SAS,96.0,2000,0,104.0,40.0,17.0,-0.07692307692307693
29901009,2000-03-27,SAS,90.0,2000,0,104.6,38.0,13.0,-0.13957934990439766
29901019,2000-03-28,SAS,89.0,2000,0,100.8,42.0,8.0,-0.11706349206349204
29901030,2000-03-30,SAS,102.0,2000,0,108.4,30.0,11.0,-0.059040590405904106
29901048,2000-04-02,SAS,84.0,2000,0,101.0,28.0,13.0,-0.16831683168316833
29901058,2000-04-04,SAS,97.0,2000,0,101.7,32.0,16.0,-0.04621435594886925
29901072,2000-04-05,SAS,98.0,2000,0,102.1,,,-0.04015670910871689
29901097,2000-04-08,SAS,98.0,2000,0,98.2,30.0,9.0,-0.002036659877800436
29901105,2000-04-09,SAS,107.0,2000,0,108.5,,,-0.013824884792626729
29901120,2000-04-11,SAS,98.0,2000,0,102.1,,,-0.04015670910871689
29901133,2000-04-13,SAS,77.0,2000,0,100.8,,,-0.23611111111111108
29901149,2000-04-15,SAS,106.0,2000,0,102.3,26.0,18.0,0.03616813294232652
29901163,2000-04-17,SAS,100.0,2000,0,108.5,44.0,10.0,-0.07834101382488479
29901185,2000-04-19,SAS,103.0,2000,0,98.2,44.0,15.0,0.04887983706720975
20000009,2000-10-31,SAS,98.0,2001,0,102.2,26.0,17.0,-0.04109589041095893
20000024,2000-11-02,SAS,103.0,2001,0,103.7,,,-0.0067502410800386005
20000045,2000-11-04,SAS,117.0,2001,0,107.4,42.0,7.0,0.08938547486033514
20000059,2000-11-07,SAS,81.0,2001,0,103.01333333333334,30.0,22.0,-0.21369402019156097
20000068,2000-11-08,SAS,91.0,2001,0,104.8,,,-0.13167938931297707
20000082,2000-11-10,SAS,77.0,2001,0,102.6,30.0,16.0,-0.2495126705653021
20000093,2000-11-11,SAS,91.0,2001,0,105.8,28.0,11.0,-0.13988657844990546
20000107,2000-11-14,SAS,86.0,2001,0,102.4,36.0,12.0,-0.16015625000000006
20000119,2000-11-16,SAS,99.0,2001,0,107.8,46.0,14.0,-0.08163265306122447
20000131,2000-11-17,SAS,94.0,2001,0,103.7,,,-0.09353905496624881
20000165,2000-11-22,SAS,112.0,2001,0,105.6,40.0,18.0,0.06060606060606066
20000177,2000-11-24,SAS,92.0,2001,0,106.3,32.0,10.0,-0.13452492944496705
20000188,2000-11-25,SAS,96.0,2001,0,98.9,40.0,22.0,-0.029322548028311482
20000214,2000-11-29,SAS,82.0,2001,0,99.6,28.0,15.0,-0.1767068273092369
20000230,2000-12-01,SAS,100.0,2001,0,104.8,58.0,9.0,-0.045801526717557224
20000248,2000-12-03,SAS,97.0,2001,0,105.8,34.0,14.0,-0.08317580340264648
20000259,2000-12-05,SAS,75.0,2001,0,99.6,30.0,13.0,-0.24698795180722888
20000273,2000-12-07,SAS,83.0,2001,0,98.2,34.0,13.0,-0.15478615071283097
20000289,2000-12-09,SAS,105.0,2001,0,107.3,28.0,17.0,-0.02143522833178003
20000301,2000-12-11,SAS,91.0,2001,0,102.4,,,-0.11132812500000006
20000318,2000-12-13,SAS,93.0,2001,0,103.01333333333334,36.0,14.0,-0.09720424540512557
20000323,2000-12-14,SAS,96.0,2001,0,106.3,,,-0.09689557855126997
20000343,2000-12-16,SAS,90.0,2001,0,103.01333333333334,30.0,22.0,-0.12632668910173442
20000356,2000-12-19,SAS,86.0,2001,0,104.2,,,-0.17466410748560462
20000365,2000-12-20,SAS,94.0,2001,0,104.9,30.0,15.0,-0.10390848427073408
20000380,2000-12-22,SAS,105.0,2001,0,107.4,30.0,14.0,-0.02234636871508385
20000386,2000-12-23,SAS,84.0,2001,0,99.5,34.0,20.0,-0.15577889447236182
20000404,2000-12-26,SAS,103.0,2001,0,104.2,36.0,12.0,-0.01151631477927066
20000415,2000-12-28,SAS,104.0,2001,0,107.3,,,-0.030754892823858314
20000429,2000-12-30,SAS,89.0,2001,0,102.2,36.0,10.0,-0.12915851272015658
20000447,2001-01-02,SAS,80.0,2001,0,98.5,22.0,8.0,-0.18781725888324874
20000479,2001-01-06,SAS,108.0,2001,0,101.8,46.0,16.0,0.06090373280943028
20000493,2001-01-09,SAS,112.0,2001,0,102.1,22.0,6.0,0.09696376101860926
20000515,2001-01-12,SAS,111.0,2001,0,101.8,30.0,16.0,0.09037328094302557
20000522,2001-01-13,SAS,83.0,2001,0,98.9,38.0,12.0,-0.16076845298281098
20000535,2001-01-15,SAS,82.0,2001,0,98.2,38.0,15.0,-0.16496945010183303
20000554,2001-01-17,SAS,91.0,2001,0,103.4,36.0,13.0,-0.11992263056092849
20000576,2001-01-20,SAS,109.0,2001,0,102.1,34.0,16.0,0.06758080313418223
20000595,2001-01-23,SAS,110.0,2001,0,105.8,32.0,20.0,0.03969754253308131
20000611,2001-01-25,SAS,97.0,2001,0,99.6,,,-0.026104417670682674
20000626,2001-01-27,SAS,99.0,2001,0,102.4,34.0,9.0,-0.033203125000000056
20000636,2001-01-29,SAS,96.0,2001,0,104.5,30.0,13.0,-0.08133971291866028
20000652,2001-01-31,SAS,92.0,2001,0,104.5,48.0,9.0,-0.11961722488038277
20000674,2001-02-03,SAS,90.0,2001,0,104.2,36.0,12.0,-0.13627639155470253
20000687,2001-02-05,SAS,109.0,2001,0,107.4,24.0,13.0,0.014897579143389145
20000700,2001-02-07,SAS,107.0,2001,0,104.9,36.0,12.0,0.020019065776930356
20000706,2001-02-08,SAS,97.0,2001,0,105.5,26.0,11.0,-0.08056872037914692
20000717,2001-02-13,SAS,104.0,2001,0,102.6,32.0,14.0,0.013645224171540018
20000732,2001-02-15,SAS,102.0,2001,0,107.8,42.0,7.0,-0.053803339517625205
20000740,2001-02-16,SAS,91.0,2001,0,103.7,24.0,10.0,-0.12246865959498555
20000752,2001-02-18,SAS,92.0,2001,0,103.4,30.0,15.0,-0.11025145067698264
20000760,2001-02-19,SAS,98.0,2001,0,104.6,32.0,14.0,-0.06309751434034412
20000777,2001-02-21,SAS,99.0,2001,0,104.8,36.0,22.0,-0.055343511450381654
20000791,2001-02-23,SAS,100.0,2001,0,103.7,34.0,7.0,-0.03567984570877534
20000798,2001-02-24,SAS,107.0,2001,0,102.6,,,0.042884990253411366
20000819,2001-02-27,SAS,87.0,2001,0,101.8,36.0,9.0,-0.1453831041257367
20000835,2001-03-01,SAS,91.0,2001,0,103.01333333333334,36.0,14.0,-0.11661920786953146
20000849,2001-03-03,SAS,124.0,2001,0,104.3,36.0,11.0,0.18887823585810165
20000866,2001-03-05,SAS,91.0,2001,0,105.8,28.0,10.0,-0.13988657844990546
20000874,2001-03-06,SAS,101.0,2001,0,105.6,24.0,12.0,-0.04356060606060601
20000887,2001-03-08,SAS,93.0,2001,0,101.8,34.0,10.0,-0.08644400785854614
20000896,2001-03-09,SAS,93.0,2001,0,104.8,48.0,13.0,-0.11259541984732822
20000916,2001-03-12,SAS,99.0,2001,0,104.5,46.0,10.0,-0.05263157894736842
20000931,2001-03-14,SAS,106.0,2001,0,103.7,52.0,18.0,0.02217936354869814
20000947,2001-03-16,SAS,95.0,2001,0,105.5,,,-0.0995260663507109
20000957,2001-03-17,SAS,99.0,2001,0,104.2,,,-0.04990403071017277
20000966,2001-03-19,SAS,98.0,2001,0,101.8,26.0,10.0,-0.037328094302554
20000977,2001-03-21,SAS,97.0,2001,0,103.7,34.0,15.0,-0.06460945033751209
20000985,2001-03-22,SAS,115.0,2001,0,104.3,36.0,11.0,0.10258868648130397
20001006,2001-03-25,SAS,83.0,2001,0,98.5,24.0,11.0,-0.15736040609137056
20001022,2001-03-27,SAS,93.0,2001,0,99.5,30.0,15.0,-0.06532663316582915
20001036,2001-03-29,SAS,106.0,2001,0,102.4,32.0,9.0,0.035156249999999944
20001051,2001-03-31,SAS,77.0,2001,0,104.6,16.0,14.0,-0.26386233269598464
20001070,2001-04-03,SAS,107.0,2001,0,105.6,40.0,16.0,0.013257575757575812
20001086,2001-04-05,SAS,101.0,2001,0,106.3,42.0,15.0,-0.04985888993414861
20001103,2001-04-07,SAS,93.0,2001,0,104.5,20.0,11.0,-0.11004784688995216
20001108,2001-04-08,SAS,84.0,2001,0,107.4,38.0,17.0,-0.2178770949720671
20001120,2001-04-10,SAS,91.0,2001,0,102.6,36.0,13.0,-0.11306042884990249
20001135,2001-04-12,SAS,105.0,2001,0,99.6,,,0.05421686746987958
20001151,2001-04-14,SAS,111.0,2001,0,106.3,48.0,14.0,0.0442144873000941
20001178,2001-04-17,SAS,99.0,2001,0,101.8,36.0,11.0,-0.027504911591355572
20001189,2001-04-18,SAS,67.0,2001,0,105.6,20.0,12.0,-0.365530303030303
40000002,2001-04-21,SAS,87.0,2001,1,103.7,40.0,20.0,-0.16104146576663456
40000010,2001-04-23,SAS,86.0,2001,1,103.7,34.0,11.0,-0.1706846673095468
40000019,2001-04-28,SAS,84.0,2001,1,103.7,30.0,12.0,-0.18997107039537128
40000025,2001-04-30,SAS,97.0,2001,1,103.7,40.0,10.0,-0.06460945033751209
40000055,2001-05-05,SAS,94.0,2001,1,102.6,32.0,12.0,-0.08382066276803114
40000056,2001-05-07,SAS,100.0,2001,1,102.6,20.0,10.0,-0.025341130604288446
40000057,2001-05-09,SAS,104.0,2001,1,102.6,34.0,11.0,0.013645224171540018
40000058,2001-05-12,SAS,108.0,2001,1,102.6,50.0,7.0,0.05263157894736848
40000059,2001-05-14,SAS,105.0,2001,1,102.6,40.0,12.0,0.023391812865497134
40000069,2001-05-19,SAS,90.0,2001,1,104.8,38.0,30.0,-0.1412213740458015
40000070,2001-05-21,SAS,81.0,2001,1,104.8,38.0,14.0,-0.22709923664122136
40000071,2001-05-25,SAS,72.0,2001,1,104.8,26.0,10.0,-0.3129770992366412
40000072,2001-05-27,SAS,82.0,2001,1,104.8,,,-0.21755725190839692
20100008,2001-10-30,SAS,109.0,2002,0,106.0,,,0.02830188679245283
20100024,2001-11-01,SAS,108.0,2002,0,105.6,38.0,11.0,0.022727272727272783
20100043,2001-11-03,SAS,106.0,2002,0,104.0,24.0,10.0,0.019230769230769232
20100050,2001-11-04,SAS,83.0,2002,0,101.1,36.0,15.0,-0.1790306627101879
20100058,2001-11-06,SAS,104.0,2002,0,105.3,38.0,16.0,-0.012345679012345652
20100070,2001-11-08,SAS,105.0,2002,0,103.3,,,0.016456921587608933
20100092,2001-11-10,SAS,110.0,2002,0,106.4,38.0,17.0,0.033834586466165356
20100105,2001-11-13,SAS,90.0,2002,0,108.6,38.0,15.0,-0.17127071823204415
20100126,2001-11-16,SAS,105.0,2002,0,108.2,24.0,14.0,-0.029574861367837362
20100160,2001-11-21,SAS,110.0,2002,0,105.6,,,0.04166666666666672
20100173,2001-11-23,SAS,97.0,2002,0,103.8,28.0,14.0,-0.06551059730250479
20100184,2001-11-24,SAS,94.0,2002,0,105.3,38.0,7.0,-0.10731244064577396
20100208,2001-11-28,SAS,94.0,2002,0,108.5,38.0,18.0,-0.1336405529953917
20100221,2001-11-30,SAS,106.0,2002,0,101.1,,,0.048466864490603424
20100232,2001-12-01,SAS,85.0,2002,0,108.6,28.0,15.0,-0.2173112338858195
20100251,2001-12-04,SAS,103.0,2002,0,106.4,40.0,10.0,-0.031954887218045167
20100256,2001-12-05,SAS,120.0,2002,0,106.4,34.0,21.0,0.1278195488721804
20100270,2001-12-07,SAS,86.0,2002,0,100.3,30.0,12.0,-0.14257228315054832
20100303,2001-12-12,SAS,108.0,2002,0,103.1,30.0,19.0,0.04752667313288075
20100319,2001-12-14,SAS,105.0,2002,0,104.52999999999999,44.0,9.0,0.004496316846838354
20100327,2001-12-15,SAS,100.0,2002,0,104.6,38.0,14.0,-0.04397705544933073
20100346,2001-12-18,SAS,102.0,2002,0,107.8,42.0,13.0,-0.053803339517625205
20100354,2001-12-19,SAS,97.0,2002,0,104.0,24.0,18.0,-0.0673076923076923
