iter	RMSE
0	10.93054725
1	10.9022552
2	10.87572019
3	10.84643401
4	10.8196323
5	10.79569386
6	10.76756003
7	10.74865469
8	10.73050797
9	10.70406648
10	10.68707678
11	10.67079772
12	10.64902779
13	10.62834123
14	10.61160416
15	10.59423833
16	10.5743123
17	10.55152534
18	10.52641445
19	10.50565658
20	10.48911223
21	10.47103811
22	10.45580505
23	10.43464425
24	10.41675792
25	10.39814765
26	10.37881378
27	10.36297764
28	10.34186595
29	10.32502775
30	10.31321049
31	10.29723268
32	10.28504561
33	10.27365593
34	10.26020965
35	10.2439298
36	10.22469189
37	10.20811344
38	10.19281294
39	10.17930577
40	10.16962199
41	10.15391221
42	10.14187027
43	10.1309343
44	10.11830431
45	10.10248915
46	10.08820453
47	10.08202776
48	10.06878963
49	10.05719976
50	10.04288267
51	10.03639183
52	10.02903003
53	10.01803484
54	10.00863434
55	10.00146933
56	9.986538867
57	9.971916641
58	9.95905661
59	9.941869463
60	9.933916127
61	9.925490749
62	9.910035927
63	9.899960234
64	9.896608005
65	9.887855073
66	9.87500467
67	9.866037676
68	9.856860533
69	9.84339651
70	9.830655142
71	9.818154284
72	9.814422625
73	9.806828055
74	9.798640506
75	9.79118038
76	9.780177749
77	9.769808987
78	9.761457673
79	9.750047635
80	9.741486077
81	9.735921868
82	9.723413045
83	9.71383166
84	9.705123862
85	9.699529455
86	9.690275531
87	9.68137668
88	9.673335471
89	9.666961696
90	9.652528715
91	9.643745645
92	9.633104636
93	9.622319347
94	9.612699057
95	9.606138775
96	9.594298426
97	9.588235898
98	9.577585802
99	9.57237684
100	9.55646369
101	9.548240465
102	9.541385316
103	9.533710388
104	9.521003786
105	9.513863005
106	9.499820579
107	9.492310646
108	9.481303021
109	9.472225553
110	9.460811401
111	9.451777408
112	9.443609477
113	9.431825176
114	9.422822798
115	9.410776208
116	9.400413083
117	9.389860853
118	9.378644743
119	9.371168767
120	9.363968994
121	9.35236213
122	9.34528592
123	9.335092972
124	9.32509816
125	9.318727814
126	9.311121969
127	9.303098926
128	9.294859434
129	9.290935338
130	9.283164414
131	9.271851049
132	9.267312889
133	9.260042646
134	9.249143893
135	9.238645767
136	9.230843548
137	9.21982051
138	9.210091811
139	9.202012758
140	9.190257896
141	9.18101076
142	9.172259009
143	9.15952392
144	9.153365997
145	9.14715723
146	9.140329781
147	9.134647652
148	9.122582142
149	9.112890652
150	9.099532887
151	9.091495391
152	9.082545828
153	9.076577411
154	9.065127596
155	9.056302107
156	9.048452744
157	9.038021089
158	9.033211121
159	9.02321643
160	9.019581626
161	9.010261619
162	9.003687036
163	8.995615919
164	8.985881156
165	8.977981035
166	8.970549895
167	8.962895083
168	8.953574703
169	8.947176422
170	8.939388926
171	8.933147207
172	8.923879669
173	8.917278617
174	8.912606118
175	8.904658748
176	8.893782902
177	8.887828077
178	8.876976402
179	8.867153117
180	8.853598082
181	8.841708109
182	8.835054156
183	8.827990562
184	8.819662029
185	8.810336794
186	8.802817286
187	8.789523868
188	8.780731401
189	8.770953178
190	8.761727967
191	8.751894902
192	8.745668484
193	8.733452313
194	8.726738946
195	8.721612151
196	8.716348788
197	8.705084986
198	8.696794416
199	8.687349681
200	8.681194912
201	8.674922284
202	8.664383618
203	8.657897277
204	8.644871758
205	8.635097089
206	8.627948622
207	8.619895011
208	8.608878251
209	8.601360492
210	8.589276663
211	8.580956262
212	8.57578034
213	8.566409187
214	8.562765489
215	8.554812944
216	8.550391377
217	8.539185048
218	8.532634358
219	8.525458226
220	8.5163882
221	8.511684942
222	8.507273197
223	8.503230505
224	8.495419557
225	8.486043809
226	8.48223188
227	8.475528192
228	8.469288102
229	8.457308955
230	8.454947171
231	8.447276351
232	8.437596901
233	8.433955577
