iter	Passed	Remaining
0	137	137139
1	139	69511
2	140	46855
3	143	35713
4	144	28851
5	146	24278
6	148	21026
7	149	18574
8	151	16672
9	153	15152
10	154	13918
11	156	12873
12	158	12060
13	160	11313
14	162	10657
15	163	10077
16	165	9588
17	167	9135
18	169	8727
19	170	8368
20	172	8050
21	174	7771
22	176	7506
23	178	7263
24	180	7034
25	181	6817
26	183	6615
27	185	6424
28	186	6253
29	188	6092
30	190	5958
31	192	5826
32	194	5695
33	196	5572
34	197	5451
35	199	5340
36	201	5244
37	203	5145
38	205	5054
39	207	4968
40	208	4882
41	210	4797
42	211	4715
43	213	4637
44	214	4560
45	216	4492
46	218	4424
47	220	4366
48	222	4312
49	224	4258
50	225	4201
51	227	4143
52	228	4087
53	230	4040
54	232	3990
55	233	3941
56	235	3896
57	237	3856
58	238	3810
59	240	3770
60	242	3729
61	243	3689
62	245	3652
63	247	3617
64	249	3583
65	250	3548
66	252	3522
67	254	3490
68	256	3457
69	257	3427
70	259	3398
71	261	3368
72	262	3337
73	264	3308
74	266	3283
75	268	3261
76	269	3235
77	271	3209
78	273	3183
79	274	3159
80	276	3133
81	277	3109
82	279	3086
83	280	3061
84	282	3043
85	284	3025
86	286	3006
87	288	2989
88	290	2970
89	291	2951
90	293	2932
91	295	2914
92	297	2901
93	299	2887
94	301	2872
95	303	2855
96	304	2837
97	306	2820
98	308	2804
99	309	2787
100	311	2769
101	313	2758
102	315	2745
103	317	2731
104	318	2718
105	320	2707
106	322	2694
107	324	2681
108	326	2670
109	329	2665
110	331	2655
111	333	2645
112	335	2632
113	337	2620
114	338	2606
115	340	2593
116	341	2580
117	343	2569
118	345	2560
119	347	2549
120	349	2536
121	351	2526
122	352	2516
123	354	2503
124	356	2492
125	357	2481
126	360	2475
127	362	2466
128	363	2455
129	365	2444
130	366	2433
131	368	2421
132	370	2412
133	371	2401
134	373	2390
135	375	2383
136	377	2376
137	379	2368
138	380	2359
139	382	2349
140	384	2339
141	385	2331
142	387	2321
143	389	2313
144	391	2307
145	393	2300
146	395	2293
147	397	2286
148	399	2279
149	400	2271
150	402	2262
151	404	2255
152	406	2248
153	408	2242
154	410	2237
155	412	2230
156	413	2222
157	416	2216
158	417	2209
159	419	2202
160	421	2195
161	423	2190
162	425	2184
163	427	2177
164	429	2172
165	430	2165
166	432	2157
167	434	2150
168	436	2144
169	438	2139
170	440	2133
171	441	2127
172	443	2121
173	445	2115
174	447	2109
175	449	2102
176	450	2095
177	452	2091
178	455	2088
179	457	2084
180	459	2079
181	461	2075
182	463	2071
183	465	2064
184	467	2059
185	469	2055
186	471	2051
187	474	2048
188	476	2043
189	478	2040
190	480	2035
191	482	2030
192	484	2026
193	487	2024
194	489	2021
195	491	2018
196	493	2013
197	495	2008
198	498	2005
199	500	2003
200	502	1999
201	505	1995
202	507	1991
203	508	1985
204	511	1981
205	512	1977
206	515	1974
207	517	1971
208	519	1967
209	521	1962
210	523	1957
211	525	1953
212	527	1947
213	529	1943
214	531	1941
215	533	1937
216	535	1933
217	537	1929
218	539	1925
219	541	1919
220	542	1913
221	544	1909
222	546	1905
223	548	1901
224	551	1897
225	552	1892
226	554	1889
227	556	1885
228	558	1879
229	560	1875
230	562	1873
231	564	1868
232	566	1864
233	568	1860
234	570	1855
235	571	1850
236	573	1845
237	575	1841
238	577	1838
239	579	1834
240	580	1829
241	582	1825
242	584	1821
243	586	1816
244	587	1811
245	589	1806
246	591	1802
247	593	1799
248	595	1796
249	597	1791
250	598	1786
251	600	1781
252	601	1776
253	603	1772
254	605	1767
255	607	1765
256	610	1764
257	612	1760
258	613	1756
259	615	1752
260	617	1748
261	619	1744
262	621	1740
263	623	1739
264	625	1735
265	627	1731
266	629	1728
267	631	1723
268	632	1719
269	634	1715
270	636	1711
271	638	1708
272	640	1704
273	642	1701
274	643	1697
275	645	1692
276	646	1688
277	648	1684
278	650	1680
279	651	1675
280	653	1673
281	655	1669
282	657	1666
283	659	1662
284	661	1659
285	663	1655
286	664	1651
287	666	1646
288	668	1643
289	670	1641
290	671	1637
291	673	1633
292	675	1629
293	676	1625
294	678	1621
295	680	1617
296	681	1614
297	683	1610
298	685	1607
299	687	1604
300	689	1600
301	690	1596
302	692	1592
303	693	1588
304	695	1584
305	696	1580
306	698	1577
307	700	1574
308	702	1570
309	705	1569
310	707	1566
311	709	1563
312	711	1560
313	713	1557
314	715	1556
315	717	1552
316	719	1549
317	720	1545
318	722	1542
319	723	1538
320	725	1534
321	727	1530
322	728	1527
323	730	1525
324	732	1521
325	734	1518
326	735	1514
327	737	1510
328	738	1507
329	740	1503
330	742	1499
331	743	1496
332	745	1493
333	747	1490
334	749	1487
335	751	1484
336	753	1481
337	754	1478
338	756	1474
339	757	1471
340	759	1467
341	761	1464
342	763	1462
343	765	1459
